id,ชุด,ชนิด,type,correct,เลขที่ต้องมี,เลขที่พบในเฉลย,ร้อยละในเฉลย,ร้อยละในโจทย์,ธง,ตัวอย่างเลขที่หาย,given 120 ตัวอักษร
chap-07-trigonometry-q116,chap-07-trigonometry,รูป,mc,1,6,1,16%,0%,🟠 น่าสงสัย,90.88 137 200 272.75 158,
chap-07-trigonometry-q119,chap-07-trigonometry,รูป,mc,3,5,0,0%,0%,🔴 ไม่เคยเห็น,-6 18 -10 1.92 -2,
chap-07-trigonometry-q12,chap-07-trigonometry,รูป,mc,1,5,0,0%,0%,🔴 ไม่เคยเห็น,100 250 220 160 48,
chap-07-trigonometry-q120,chap-07-trigonometry,รูป,mc,0,3,1,33%,0%,🟠 น่าสงสัย,-10 -4,
chap-07-trigonometry-q121,chap-07-trigonometry,รูป,mc,0,8,1,12%,0%,🟠 น่าสงสัย,170 310 143 173 225 35,
chap-07-trigonometry-q122,chap-07-trigonometry,รูป,mc,2,9,5,55%,44%,🟢 น่าจะเห็น,200 260 148.92 252.85,
chap-07-trigonometry-q123,chap-07-trigonometry,รูป,mc,0,10,3,30%,30%,🟠 น่าสงสัย,250 340 210 175 88 127,
chap-07-trigonometry-q125,chap-07-trigonometry,รูป,mc,1,5,0,0%,0%,🔴 ไม่เคยเห็น,150 218.8 248.3 30 270,
chap-07-trigonometry-q126,chap-07-trigonometry,รูป,mc,1,6,0,0%,0%,🔴 ไม่เคยเห็น,70 40 250 370 82 310,
chap-07-trigonometry-q128,chap-07-trigonometry,รูป,mc,1,8,0,0%,0%,🔴 ไม่เคยเห็น,60 240 280 170 40 103,
chap-07-trigonometry-q129,chap-07-trigonometry,รูป,mc,1,3,1,33%,0%,🟠 น่าสงสัย,-51 -15,
chap-07-trigonometry-q13,chap-07-trigonometry,รูป,mc,1,3,0,0%,0%,🔴 ไม่เคยเห็น,-51 23 56,
chap-07-trigonometry-q130,chap-07-trigonometry,รูป,fill,"a = -0.3, b ≈ 0.95",5,2,40%,20%,🟠 น่าสงสัย,60 12 -8,
chap-07-trigonometry-q131,chap-07-trigonometry,รูป,fill,"$(-\sqrt{3}, -1)$",5,1,20%,0%,🟠 น่าสงสัย,20 -10 80 -14,
chap-07-trigonometry-q133,chap-07-trigonometry,รูป,fill,$\sqrt{7} + \dfrac{10}{3}$,132,7,5%,1%,🟠 น่าสงสัย,-0.3 -0.5 11.8 2.03333 5.13444 2.06667,
chap-07-trigonometry-q134,chap-07-trigonometry,รูป,mc,2,129,0,0%,0%,🔴 ไม่เคยเห็น,-0.15 1.85 -0.4 2.5 0.5236 0.54105,
chap-07-trigonometry-q135,chap-07-trigonometry,รูป,mc,1,171,0,0%,0%,🔴 ไม่เคยเห็น,-1.85 2.35 -0.25 1.35 -1.5708 0.5,
chap-07-trigonometry-q14,chap-07-trigonometry,รูป,mc,0,5,0,0%,0%,🔴 ไม่เคยเห็น,-47 -12 56 -50 -14,
chap-07-trigonometry-q145,chap-07-trigonometry,รูป,mc,2,4,0,0%,0%,🔴 ไม่เคยเห็น,-10 -36 -40 18,
chap-07-trigonometry-q147,chap-07-trigonometry,รูป,mc,3,6,2,33%,0%,🟠 น่าสงสัย,-8 -42 -38 10,
chap-07-trigonometry-q148,chap-07-trigonometry,รูป,mc,2,7,1,14%,0%,🟠 น่าสงสัย,-6 -36 -10 6.7 20 16,
chap-07-trigonometry-q149,chap-07-trigonometry,รูป,mc,3,4,0,0%,0%,🔴 ไม่เคยเห็น,-45 -50 40 56,
chap-07-trigonometry-q151,chap-07-trigonometry,รูป,mc,1,6,1,16%,0%,🟠 น่าสงสัย,-4 -42 -48 10 56,
chap-07-trigonometry-q152,chap-07-trigonometry,รูป,mc,2,139,3,2%,0%,🟠 น่าสงสัย,-0.3 6.6 -2.4 2.4 1.57 3.14,
chap-07-trigonometry-q153,chap-07-trigonometry,รูป,mc,0,139,16,11%,2%,🟠 น่าสงสัย,-12 195 -300 850 -29.5965 -57.8307,
chap-07-trigonometry-q154,chap-07-trigonometry,รูป,mc,1,159,1,0%,0%,🔴 ไม่เคยเห็น,-0.2 6.5 -0.7 0.7 0.5 -0.5,
